qid	year	label	no	content_verbatim	content_fixed	choice_a	choice_b	choice_c	choice_d	answer	chapter	attachment_link	mixed_choices
Yj7CK9dX	2015	1.1	0	Le nuage figurant sur la photographie ci-contre est un :	Le nuage figurant sur la photographie est un :	cirrus	nimbostratus	stratus	cumulonimbus	3	3.3.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FYx9N6H4zZg5GYWM5cbAD?alt=media&token=ad674936-9d01-403d-bfea-3c02f58a4240	True
AD9rHOa1	2015	1.2	1	Une rue de nuages est une particularité météorologique que l'on rencontre :		les jours où il n'y a pas de vent	les jours où il y a du vent	uniquement en montagne	toujours parallèlement aux vallées	1	3.3.		True
uehTliAl	2015	1.3	2	Le mistral est un vent qui souffle globalement :		du nord vers le sud	du sud vers le nord	de l'est vers l'ouest	de l'ouest vers l'est	0	3.4.		True
ehjmDJpn	2015	1.4	3	La brise de mer est la plus forte :		tôt le matin	en milieu d'après midi	en milieu de nuit	en début de nuit	1			
yRqm4vGz	2015	1.5	4	Le point de rosée est défini comme :		l'emplacement de l'aéroport où les données météorologiques sont mesurées	la température qui permet l'évaporation de la rosée	la température à laquelle il faut refroidir un volume d'air pour qu'il y ait condensation	l'heure à laquelle la rosée va commencer à se déposer	2			
yHmwRYvW	2015	1.6	5	Un anticyclone est un phénomène météorologique où l'on rencontre généralement :		du beau temps	des vents pouvant atteindre voir dépasser 180 km/h	des pressions très basses	des nuages épais accompagnés de fortes turbulences	0	3.2.		True
gPG70VqI	2015	1.7	6	Le givre qui se dépose sur un aéronef durant un vol :		ne survient que si l'aéronef est proche du sol	n'est jamais dangereux, car il se dépose en couches très minces	peut être un phénomène très dangereux	ne survient que si l'aéronef vole à très haute altitude	2	3.5.		True
n1a91GC6	2015	1.8	7	Un avion vole dans l'hémisphère nord à basse altitude. Il se déplace d'une dépression vers un anticyclone. Le pilote constate que le vent :		vient de la droite	vient de la gauche	augmente régulièrement	vient de l'arrière	0	3.4.		True
GTw94uHh	2015	1.9	8	En atmosphère standard et en dessous de la tropopause, lorsque l'on s'élève de 1000 ft, la température de l'air :		augmente de 2 degrés	diminue de 2 degrés	augmente de 6,5 degrés	diminue de 6,5 degrés	1	3.2.		True
nDYMXvvM	2015	1.10	9	Une pluie durable et continue durant plusieurs heures provient du type de nuage suivant :		cirrocumulus	cirrostratus	altocumulus	nimbostratus	3	3.3.		True
LzABMXsV	2015	1.11	10	Dans un régime dépressionnaire, on constate que le ciel de traîne :		suit le front froid	n'existe que l'été	suit le front chaud	précède le front froid	0	3.2.		True
44esh4dL	2015	1.12	11	L'effet de fœhn est un phénomène météorologique que l'on rencontre :		en bord de mer	en plaine	en montagne	au dessus d'une forêt	2	3.4.		True
ZEthEH8C	2015	1.13	12	La pression atmosphérique est générée par :		les forces de Coriolis	la rotation de la terre	le poids de l'air qui est au-dessus	la présence d'humidité dans l'air	2	3.1.		True
5RdHs8t9	2015	1.14	13	Dans un régime dépressionnaire, la masse d'air chaud est associée à :		un ciel de traîne	des éclaircies	de la pluie	un ciel clair	2	3.2.		True
Cc5b9wx9	2015	1.15	14	La formation d'un nuage est associée à :		un phénomène de condensation de la vapeur d'eau	un phénomène de fusion	un phénomène de surfusion	un phénomène d'évaporation	0	3.3.		True
DgAawsUU	2015	1.16	15	Dans l'hémisphère nord, le phénomène météorologique représenté sur la figure ci-contre est :		un cyclone	un anticyclone	une tempête tropicale	une zone dépressionnaire	1	3.2.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FGYcK24EM3evlMjmUt6Qx?alt=media&token=1c0328e7-358f-475b-a81a-d27561eafeb3	True
UBDMCwD7	2015	1.17	16	Dans un cumulonimbus, on peut rencontrer des ascendances dont les valeurs maximales peuvent atteindre :		Mach 1	1 à 3 m/s	150 à 200 m/s	20 à 40 m/s	3	3.3.		True
3QBinzve	2015	1.18	17	La grêle est généralement associée à :		un nimbostratus	un altocumulus lenticulaire	un cumulonimbus	un cirrocumulus	2	3.5.		True
3rw78Bmn	2015	1.19	18	La situation qui est la plus susceptible de générer du brouillard est :		un air très sec et une forte pression	une température supérieure au point de rosée et un vent fort	une température égale ou inférieure au point de rosée	une température largement supérieure au point de rosée et un vent faible	2	3.5.		True
